Title,Date,Favourites,Comments,Views,Link
Dawn Formal Dress (#6),2017,108,32,1000,https://www.deviantart.com/gordon003/art/Dawn-Formal-Dress-6-720029073
Bridgette Swimsuit Back view (Vector),2017,195,30,5000,https://www.deviantart.com/gordon003/art/Bridgette-Swimsuit-Back-view-Vector-719693228
Courtney + Gwen Heroine Trouble (Commission),2017,66,14,2000,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Heroine-Trouble-Commission-719661841
Bridgette vs Kitty (Commission),2017,69,24,2000,https://www.deviantart.com/gordon003/art/Bridgette-vs-Kitty-Commission-719195970
Andrea Martins OC (Commission),2017,30,11,292,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-Commission-718342051
Total Drama Background 5,2017,23,2,324,https://www.deviantart.com/gordon003/art/Total-Drama-Background-5-717625700
Carrie x Devin Autumn (Commission),2017,71,27,1000,https://www.deviantart.com/gordon003/art/Carrie-x-Devin-Autumn-Commission-717544600
Jasmine Swimsuit (Vector),2017,160,9,4000,https://www.deviantart.com/gordon003/art/Jasmine-Swimsuit-Vector-716854765
Crimson Swimsuit (Vector),2017,111,4,2000,https://www.deviantart.com/gordon003/art/Crimson-Swimsuit-Vector-716846366
Josee Swimsuit (Vector),2017,43,9,1000,https://www.deviantart.com/gordon003/art/Josee-Swimsuit-Vector-716832813
Josee Formal Dress (#5),2017,42,17,763,https://www.deviantart.com/gordon003/art/Josee-Formal-Dress-5-716770768
Luna in Japanese School Costume (Commission),2017,22,6,347,https://www.deviantart.com/gordon003/art/Luna-in-Japanese-School-Costume-Commission-716520342
Devin + Paul (Commission + Vector),2017,27,2,984,https://www.deviantart.com/gordon003/art/Devin-Paul-Commission-Vector-716426000
Crimson Formal Dress (#4),2017,132,26,1000,https://www.deviantart.com/gordon003/art/Crimson-Formal-Dress-4-715507125
TD Basketball Couple: Anne Maria + Lightning (Com),2017,55,21,1000,https://www.deviantart.com/gordon003/art/TD-Basketball-Couple-Anne-Maria-Lightning-Com-713154964
Carrie x Devin Formal Kiss (Vector),2017,49,7,1000,https://www.deviantart.com/gordon003/art/Carrie-x-Devin-Formal-Kiss-Vector-712174990
TD Horror Prom (Halloween Special),2017,67,29,1000,https://www.deviantart.com/gordon003/art/TD-Horror-Prom-Halloween-Special-712103250
Jasmine Formal Dress (#3),2017,100,14,1000,https://www.deviantart.com/gordon003/art/Jasmine-Formal-Dress-3-711777061
Male Beach Party (Commission),2017,25,7,1000,https://www.deviantart.com/gordon003/art/Male-Beach-Party-Commission-711598003
Emma Swimsuit (Vector),2017,180,17,3000,https://www.deviantart.com/gordon003/art/Emma-Swimsuit-Vector-710249161
Emma Formal Dress (#2),2017,117,32,2000,https://www.deviantart.com/gordon003/art/Emma-Formal-Dress-2-710094561
Anne Maria Cheetah Swimsuit (Vector),2017,90,14,1000,https://www.deviantart.com/gordon003/art/Anne-Maria-Cheetah-Swimsuit-Vector-708440505
Anne Maria Formal Dress (#1),2017,84,28,1000,https://www.deviantart.com/gordon003/art/Anne-Maria-Formal-Dress-1-708079351
Gwen as Elvira,2017,161,24,1000,https://www.deviantart.com/gordon003/art/Gwen-as-Elvira-706978157
Sky Olympic Swimsuit (Vector),2017,152,29,3000,https://www.deviantart.com/gordon003/art/Sky-Olympic-Swimsuit-Vector-706805340
Carrie + Zoey in Beach (Comm + NSFW available),2017,162,29,4000,https://www.deviantart.com/gordon003/art/Carrie-Zoey-in-Beach-Comm-NSFW-available-706477372
Duncan Pose 1,2017,18,2,496,https://www.deviantart.com/gordon003/art/Duncan-Pose-1-706117163
Zoey Hot Pose 1 (Vector),2017,207,27,4000,https://www.deviantart.com/gordon003/art/Zoey-Hot-Pose-1-Vector-705767899
Carrie Hot Pose 1 (Vector),2017,87,20,2000,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-1-Vector-704939768
TD Summer Kitty in Bikini (Vector),2017,94,2,2000,https://www.deviantart.com/gordon003/art/TD-Summer-Kitty-in-Bikini-Vector-700788040
TD Summer Bridgette in Bikini (Vector),2017,143,9,3000,https://www.deviantart.com/gordon003/art/TD-Summer-Bridgette-in-Bikini-Vector-700787593
TD Summer Courtney in Bikini (Vector),2017,109,6,3000,https://www.deviantart.com/gordon003/art/TD-Summer-Courtney-in-Bikini-Vector-700787101
TD Summer Jen in Bikini (Vector),2017,59,2,1000,https://www.deviantart.com/gordon003/art/TD-Summer-Jen-in-Bikini-Vector-700785151
TD Beach Babes,2017,147,37,4000,https://www.deviantart.com/gordon003/art/TD-Beach-Babes-700777539
TD Summer Carrie in Bikini (Vector),2017,105,22,4000,https://www.deviantart.com/gordon003/art/TD-Summer-Carrie-in-Bikini-Vector-699253761
Total Drama Background 4,2017,15,1,513,https://www.deviantart.com/gordon003/art/Total-Drama-Background-4-697755337
Bikini Zoey in Summer (My version),2017,141,10,4000,https://www.deviantart.com/gordon003/art/Bikini-Zoey-in-Summer-My-version-697557724
Dress Zoey in Summer (Raffle Winner),2017,103,12,2000,https://www.deviantart.com/gordon003/art/Dress-Zoey-in-Summer-Raffle-Winner-697557290
TD Zoey in Bikini (Vector),2017,137,26,5000,https://www.deviantart.com/gordon003/art/TD-Zoey-in-Bikini-Vector-697342594
Daisy OC (Commission),2017,16,9,179,https://www.deviantart.com/gordon003/art/Daisy-OC-Commission-696121302
TD Basketball Poster (Request),2017,69,36,2000,https://www.deviantart.com/gordon003/art/TD-Basketball-Poster-Request-692800019
TD Basketball: Dakota,2017,67,20,817,https://www.deviantart.com/gordon003/art/TD-Basketball-Dakota-692388523
TD Basketball Couple: Carrie x Devin,2017,73,34,1000,https://www.deviantart.com/gordon003/art/TD-Basketball-Couple-Carrie-x-Devin-691866227
Sky as Crysta (Birthday Present),2017,114,37,1000,https://www.deviantart.com/gordon003/art/Sky-as-Crysta-Birthday-Present-690818133
Dakota in Summer Beach,2017,123,27,2000,https://www.deviantart.com/gordon003/art/Dakota-in-Summer-Beach-690633462
Lindsay in Summer Beach,2017,73,29,767,https://www.deviantart.com/gordon003/art/Lindsay-in-Summer-Beach-689134520
Lindsay Summer Pose,2017,144,24,2000,https://www.deviantart.com/gordon003/art/Lindsay-Summer-Pose-689019559
Nancy X Jacques Prom Dance (Request),2017,10,24,215,https://www.deviantart.com/gordon003/art/Nancy-X-Jacques-Prom-Dance-Request-688783104
Chris as Damaged Iron Man (Commission),2017,26,11,461,https://www.deviantart.com/gordon003/art/Chris-as-Damaged-Iron-Man-Commission-688576252
Dawn The Nature Protector,2017,57,19,494,https://www.deviantart.com/gordon003/art/Dawn-The-Nature-Protector-687743538
Dawn Snow Queen Archer (Revised),2017,58,11,632,https://www.deviantart.com/gordon003/art/Dawn-Snow-Queen-Archer-Revised-686984976
Japanese Kitty,2017,41,4,566,https://www.deviantart.com/gordon003/art/Japanese-Kitty-686022863
Kitty vs Carrie Japanese Fight,2017,61,26,1000,https://www.deviantart.com/gordon003/art/Kitty-vs-Carrie-Japanese-Fight-686020842
Japanese Carrie,2017,64,13,1000,https://www.deviantart.com/gordon003/art/Japanese-Carrie-685778510
Kitty as Harley Quinn,2017,55,18,506,https://www.deviantart.com/gordon003/art/Kitty-as-Harley-Quinn-683610816
TD Stephanie as Storm,2017,45,17,459,https://www.deviantart.com/gordon003/art/TD-Stephanie-as-Storm-680163334
How not to use portal gun! (1st Animation),2017,6,4,233,https://www.deviantart.com/gordon003/art/How-not-to-use-portal-gun-1st-Animation-679625088
Scott And Allie Marriage,2017,8,4,218,https://www.deviantart.com/gordon003/art/Scott-And-Allie-Marriage-677925145
TD Junior Detective,2017,31,13,724,https://www.deviantart.com/gordon003/art/TD-Junior-Detective-675542796
Lindsay Wonder Woman Movie Poster,2017,77,34,937,https://www.deviantart.com/gordon003/art/Lindsay-Wonder-Woman-Movie-Poster-670221120
Total Drama Background 2,2017,12,3,1000,https://www.deviantart.com/gordon003/art/Total-Drama-Background-2-668421010
Allie Promo Picture TDI,2017,15,9,192,https://www.deviantart.com/gordon003/art/Allie-Promo-Picture-TDI-668317301
Total Drama Background3,2017,8,0,148,https://www.deviantart.com/gordon003/art/Total-Drama-Background3-666046614
The Fake Betrayal of Love,2017,21,11,682,https://www.deviantart.com/gordon003/art/The-Fake-Betrayal-of-Love-665842283
Chef Hatchet dancing with Leshawna,2017,10,6,591,https://www.deviantart.com/gordon003/art/Chef-Hatchet-dancing-with-Leshawna-664252594
Rock x Taylor Valentine in Paris (Late!),2017,20,6,590,https://www.deviantart.com/gordon003/art/Rock-x-Taylor-Valentine-in-Paris-Late-663696024
Baby-showering Party with Blaineley,2017,31,29,925,https://www.deviantart.com/gordon003/art/Baby-showering-Party-with-Blaineley-662046699
Blaineley and Geoff Make Out in Celebrity Manhunt,2017,13,7,1000,https://www.deviantart.com/gordon003/art/Blaineley-and-Geoff-Make-Out-in-Celebrity-Manhunt-658114782
Beach Wedding Party with Blaineley and Geoff,2017,52,20,1000,https://www.deviantart.com/gordon003/art/Beach-Wedding-Party-with-Blaineley-and-Geoff-657528221
Blaineley Geoff Beach Wedding,2017,18,4,863,https://www.deviantart.com/gordon003/art/Blaineley-Geoff-Beach-Wedding-655730344
Total Drama Background 1,2017,8,0,1000,https://www.deviantart.com/gordon003/art/Total-Drama-Background-1-655228407
Gordon's 2016 Summary of Art (Monthly),2017,4,3,130,https://www.deviantart.com/gordon003/art/Gordon-s-2016-Summary-of-Art-Monthly-655224818
Colour Courtney!,2016,15,1,422,https://www.deviantart.com/gordon003/art/Colour-Courtney-654239606
Blaineley Geoff Wedding Card,2016,14,4,309,https://www.deviantart.com/gordon003/art/Blaineley-Geoff-Wedding-Card-653774198
Interviewed By Blaineley,2016,53,5,833,https://www.deviantart.com/gordon003/art/Interviewed-By-Blaineley-653418693
Blaineley and Geoff Tango Dance (Art Trade),2016,13,4,429,https://www.deviantart.com/gordon003/art/Blaineley-and-Geoff-Tango-Dance-Art-Trade-650040538
The Rise of Blaineley,2016,61,6,828,https://www.deviantart.com/gordon003/art/The-Rise-of-Blaineley-648627150
Blaineley in Jessica Rabbit Pose,2016,67,5,1000,https://www.deviantart.com/gordon003/art/Blaineley-in-Jessica-Rabbit-Pose-648626854
My Ridonculous Race Team Ranking,2016,8,12,1000,https://www.deviantart.com/gordon003/art/My-Ridonculous-Race-Team-Ranking-645358124
Total Drama Draft Team Challenge Game,2016,43,64,3000,https://www.deviantart.com/gordon003/art/Total-Drama-Draft-Team-Challenge-Game-630575977
Courtney as my coaching teacher,2016,6,10,203,https://www.deviantart.com/gordon003/art/Courtney-as-my-coaching-teacher-630035942
Hello? Are you alright?,2016,12,8,318,https://www.deviantart.com/gordon003/art/Hello-Are-you-alright-629175932
Tango Dance by Caitlyn and Alejandro,2016,10,5,253,https://www.deviantart.com/gordon003/art/Tango-Dance-by-Caitlyn-and-Alejandro-620770852
