Title,Date,Favourites,Comments,Views,Link
Gwen as Green Elf (Commission),2019,150,11,1000,https://www.deviantart.com/gordon003/art/Gwen-as-Green-Elf-Commission-823998207
Zoey as Christmas Angel (Commission),2019,157,14,1000,https://www.deviantart.com/gordon003/art/Zoey-as-Christmas-Angel-Commission-823990186
TD Superhero Comic Page 5/5 (Commission),2019,12,3,171,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-5-5-Commission-823744115
TD Superhero Comic Page 4/5 (Commission),2019,12,1,139,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-4-5-Commission-823744024
TD Superhero Comic Page 3/5 (Commission),2019,14,1,118,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-3-5-Commission-823743957
TD Superhero Comic Page 2/5 (Commission),2019,14,1,150,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-2-5-Commission-823743890
TD Superhero Comic Page 1/5 (Commission),2019,12,6,152,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-1-5-Commission-823743705
Basic Courtney Punch Animation,2019,49,22,601,https://www.deviantart.com/gordon003/art/Basic-Courtney-Punch-Animation-821094358
Dakota Hawks NBA 2K20 Card,2019,68,9,493,https://www.deviantart.com/gordon003/art/Dakota-Hawks-NBA-2K20-Card-815692385
Zoey Rockets Custom NBA 2K20 Card (Version 2),2019,42,2,286,https://www.deviantart.com/gordon003/art/Zoey-Rockets-Custom-NBA-2K20-Card-Version-2-815178531
Zoey Rockets Custom NBA 2K20 Card,2019,96,12,597,https://www.deviantart.com/gordon003/art/Zoey-Rockets-Custom-NBA-2K20-Card-814599178
Dakota as Mai Shiruanui (Vector),2019,91,12,700,https://www.deviantart.com/gordon003/art/Dakota-as-Mai-Shiruanui-Vector-811888825
Just listen to this... (Commission),2019,109,18,2000,https://www.deviantart.com/gordon003/art/Just-listen-to-this-Commission-799084260
TD Chrysler ME 412 (Comm),2019,21,6,294,https://www.deviantart.com/gordon003/art/TD-Chrysler-ME-412-Comm-795389431
Emeline OC Pose 1(Comm),2019,34,1,255,https://www.deviantart.com/gordon003/art/Emeline-OC-Pose-1-Comm-794915596
TD Dawn (Comm),2019,104,11,1000,https://www.deviantart.com/gordon003/art/TD-Dawn-Comm-794915102
Emeline OC (Comm),2019,29,2,248,https://www.deviantart.com/gordon003/art/Emeline-OC-Comm-794914534
TD Rolls Royce Phantom (Comm),2019,20,3,211,https://www.deviantart.com/gordon003/art/TD-Rolls-Royce-Phantom-Comm-790864743
TD OC Pung Yu (Comm),2019,21,4,247,https://www.deviantart.com/gordon003/art/TD-OC-Pung-Yu-Comm-790115327
TD OC Win Bo (Comm),2019,37,7,280,https://www.deviantart.com/gordon003/art/TD-OC-Win-Bo-Comm-789744747
Brick x FogFra War Love (Present),2019,68,10,1000,https://www.deviantart.com/gordon003/art/Brick-x-FogFra-War-Love-Present-789000759
TD Courtney Vs. Zoey- Who's Thiccker? (Comm),2019,178,26,5000,https://www.deviantart.com/gordon003/art/TD-Courtney-Vs-Zoey-Who-s-Thiccker-Comm-788715381
Heather vs Zoey + Gwen (Comm),2019,130,24,2000,https://www.deviantart.com/gordon003/art/Heather-vs-Zoey-Gwen-Comm-787511614
TD Aston Marin DB9 (Vector),2019,19,5,259,https://www.deviantart.com/gordon003/art/TD-Aston-Marin-DB9-Vector-787253784
Courtney Aston Martin Drive (Gift),2019,84,16,709,https://www.deviantart.com/gordon003/art/Courtney-Aston-Martin-Drive-Gift-786555014
TD OC Warren (Comm),2019,13,5,167,https://www.deviantart.com/gordon003/art/TD-OC-Warren-Comm-786250760
Noah x Emma Valentine Quick Pic,2019,108,23,1000,https://www.deviantart.com/gordon003/art/Noah-x-Emma-Valentine-Quick-Pic-785513263
TD OC Jin + Kiki + Veronica (Comm),2019,19,3,272,https://www.deviantart.com/gordon003/art/TD-OC-Jin-Kiki-Veronica-Comm-784134073
TD Aladdin Dance Scene (Comm),2019,175,18,2000,https://www.deviantart.com/gordon003/art/TD-Aladdin-Dance-Scene-Comm-783912784
Dakota GTA 5 Cover,2019,167,14,2000,https://www.deviantart.com/gordon003/art/Dakota-GTA-5-Cover-782519431
TD Brick Soldier (Comm),2019,65,29,1000,https://www.deviantart.com/gordon003/art/TD-Brick-Soldier-Comm-781843433
TD OC Veronika Orlov (Commission),2019,38,7,349,https://www.deviantart.com/gordon003/art/TD-OC-Veronika-Orlov-Commission-781471442
Devin + Scott Aladdin (NSFW Comm),2019,29,7,908,https://www.deviantart.com/gordon003/art/Devin-Scott-Aladdin-NSFW-Comm-781275719
Carrie Hot Pose 3 (Vector),2018,137,24,2000,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-3-Vector-778967595
Anne Maria Zebra Dress (Commission),2018,74,12,730,https://www.deviantart.com/gordon003/art/Anne-Maria-Zebra-Dress-Commission-778788814
Gwen + Zoey Winter Outfit (Commission),2018,204,17,4000,https://www.deviantart.com/gordon003/art/Gwen-Zoey-Winter-Outfit-Commission-778420273
Courtney + Tom (NSFW Commission),2018,21,5,543,https://www.deviantart.com/gordon003/art/Courtney-Tom-NSFW-Commission-778278834
Drowned Ophelia OC (Commission),2018,21,6,254,https://www.deviantart.com/gordon003/art/Drowned-Ophelia-OC-Commission-777713141
Ophelia OC (Commission),2018,34,5,228,https://www.deviantart.com/gordon003/art/Ophelia-OC-Commission-777170811
Lindsay NBA (Vector),2018,125,5,1000,https://www.deviantart.com/gordon003/art/Lindsay-NBA-Vector-776991621
Jasmine NBA (Vector),2018,70,2,765,https://www.deviantart.com/gordon003/art/Jasmine-NBA-Vector-776991502
Taylor NBA (Vector),2018,76,3,1000,https://www.deviantart.com/gordon003/art/Taylor-NBA-Vector-776991383
Anne Maria NBA (Vector),2018,71,3,806,https://www.deviantart.com/gordon003/art/Anne-Maria-NBA-Vector-776991227
Heather NBA (Vector),2018,74,2,729,https://www.deviantart.com/gordon003/art/Heather-NBA-Vector-776991052
Sky NBA (Vector),2018,82,6,1000,https://www.deviantart.com/gordon003/art/Sky-NBA-Vector-776990889
Sanders NBA (Vector),2018,42,2,476,https://www.deviantart.com/gordon003/art/Sanders-NBA-Vector-776990573
Carrie NBA (Vector),2018,53,2,490,https://www.deviantart.com/gordon003/art/Carrie-NBA-Vector-776990157
Gwen NBA (Vector),2018,157,5,1000,https://www.deviantart.com/gordon003/art/Gwen-NBA-Vector-776989816
Dawn NBA (Vector),2018,124,9,1000,https://www.deviantart.com/gordon003/art/Dawn-NBA-Vector-776989539
TD NBA Poster - Gordon003 vs Imfamous E,2018,86,21,1000,https://www.deviantart.com/gordon003/art/TD-NBA-Poster-Gordon003-vs-Imfamous-E-776983748
Lindsay Hornets NBA 2K19 Card,2018,205,18,2000,https://www.deviantart.com/gordon003/art/Lindsay-Hornets-NBA-2K19-Card-776889639
Jasmine Spurs NBA2K19 Card,2018,76,17,795,https://www.deviantart.com/gordon003/art/Jasmine-Spurs-NBA2K19-Card-776244736
Christmas Date (Commission),2018,71,10,1000,https://www.deviantart.com/gordon003/art/Christmas-Date-Commission-775999327
Taylor Lakers NBA 2K19 Card,2018,83,20,1000,https://www.deviantart.com/gordon003/art/Taylor-Lakers-NBA-2K19-Card-775721486
Kitty + Kenzo Nissan 330zx (Commission),2018,15,6,351,https://www.deviantart.com/gordon003/art/Kitty-Kenzo-Nissan-330zx-Commission-775710148
Yakito + His Toyota Supras (Commission),2018,17,16,247,https://www.deviantart.com/gordon003/art/Yakito-His-Toyota-Supras-Commission-775445449
Anne Maria Knicks NBA 2K19 Card,2018,72,8,726,https://www.deviantart.com/gordon003/art/Anne-Maria-Knicks-NBA-2K19-Card-774844994
Heather Bulls NBA 2K19 Card,2018,111,8,1000,https://www.deviantart.com/gordon003/art/Heather-Bulls-NBA-2K19-Card-774710226
Sky Celtics NBA 2K19 Card,2018,118,15,1000,https://www.deviantart.com/gordon003/art/Sky-Celtics-NBA-2K19-Card-774577956
