Title,Favourites,Comments, Link
Gordon's 2019 Art Summary,15,7,https://www.deviantart.com/gordon003/art/Gordon-s-2019-Art-Summary-825257364
Bridgette Ferrari California (Commission),82,5,https://www.deviantart.com/gordon003/art/Bridgette-Ferrari-California-Commission-824839301
TD OC Kona Christmas (Commission),62,8,https://www.deviantart.com/gordon003/art/TD-OC-Kona-Christmas-Commission-824419975
Gwen as Green Elf (Commission),150,12,https://www.deviantart.com/gordon003/art/Gwen-as-Green-Elf-Commission-823998207
Zoey as Christmas Angel (Commission),157,14,https://www.deviantart.com/gordon003/art/Zoey-as-Christmas-Angel-Commission-823990186
TD Superhero Comic Page 5/5 (Commission),12,3,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-5-5-Commission-823744115
TD Superhero Comic Page 4/5 (Commission),12,1,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-4-5-Commission-823744024
TD Superhero Comic Page 3/5 (Commission),14,1,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-3-5-Commission-823743957
TD Superhero Comic Page 2/5 (Commission),14,1,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-2-5-Commission-823743890
TD Superhero Comic Page 1/5 (Commission),12,6,https://www.deviantart.com/gordon003/art/TD-Superhero-Comic-Page-1-5-Commission-823743705
Courtney Crouch Pose,29,2,https://www.deviantart.com/gordon003/art/Courtney-Crouch-Pose-822947033
Courtney Fight Walking Animation (Updated),15,5,https://www.deviantart.com/gordon003/art/Courtney-Fight-Walking-Animation-Updated-821503245
Basic Courtney Kick Animation,22,11,https://www.deviantart.com/gordon003/art/Basic-Courtney-Kick-Animation-821487716
Basic Courtney Punch Animation,49,22,https://www.deviantart.com/gordon003/art/Basic-Courtney-Punch-Animation-821094358
Dakota Hawks NBA 2K20 Card,68,9,https://www.deviantart.com/gordon003/art/Dakota-Hawks-NBA-2K20-Card-815692385
Zoey Rockets Custom NBA 2K20 Card (Version 2),42,2,https://www.deviantart.com/gordon003/art/Zoey-Rockets-Custom-NBA-2K20-Card-Version-2-815178531
Zoey Rockets Custom NBA 2K20 Card,96,12,https://www.deviantart.com/gordon003/art/Zoey-Rockets-Custom-NBA-2K20-Card-814599178
Dakota as Mai Shiruanui (Vector),91,12,https://www.deviantart.com/gordon003/art/Dakota-as-Mai-Shiruanui-Vector-811888825
Just listen to this... (Commission),109,18,https://www.deviantart.com/gordon003/art/Just-listen-to-this-Commission-799084260
TD Chrysler ME 412 (Comm),21,6,https://www.deviantart.com/gordon003/art/TD-Chrysler-ME-412-Comm-795389431
Emeline OC Pose 1(Comm),34,1,https://www.deviantart.com/gordon003/art/Emeline-OC-Pose-1-Comm-794915596
TD Dawn (Comm),104,12,https://www.deviantart.com/gordon003/art/TD-Dawn-Comm-794915102
Emeline OC (Comm),29,2,https://www.deviantart.com/gordon003/art/Emeline-OC-Comm-794914534
TD Rolls Royce Phantom (Comm),20,3,https://www.deviantart.com/gordon003/art/TD-Rolls-Royce-Phantom-Comm-790864743
TD OC Pung Yu (Comm),21,4,https://www.deviantart.com/gordon003/art/TD-OC-Pung-Yu-Comm-790115327
TD OC Win Bo (Comm),37,7,https://www.deviantart.com/gordon003/art/TD-OC-Win-Bo-Comm-789744747
Brick x FogFra War Love (Present),68,10,https://www.deviantart.com/gordon003/art/Brick-x-FogFra-War-Love-Present-789000759
TD Courtney Vs. Zoey- Who's Thiccker? (Comm),178,26,https://www.deviantart.com/gordon003/art/TD-Courtney-Vs-Zoey-Who-s-Thiccker-Comm-788715381
Heather vs Zoey + Gwen (Comm),130,24,https://www.deviantart.com/gordon003/art/Heather-vs-Zoey-Gwen-Comm-787511614
TD Aston Marin DB9 (Vector),19,5,https://www.deviantart.com/gordon003/art/TD-Aston-Marin-DB9-Vector-787253784
Courtney Aston Martin Drive (Gift),84,16,https://www.deviantart.com/gordon003/art/Courtney-Aston-Martin-Drive-Gift-786555014
TD OC Warren (Comm),13,5,https://www.deviantart.com/gordon003/art/TD-OC-Warren-Comm-786250760
Noah x Emma Valentine Quick Pic,108,23,https://www.deviantart.com/gordon003/art/Noah-x-Emma-Valentine-Quick-Pic-785513263
TD OC Jin + Kiki + Veronica (Comm),19,3,https://www.deviantart.com/gordon003/art/TD-OC-Jin-Kiki-Veronica-Comm-784134073
TD Aladdin Dance Scene (Comm),175,18,https://www.deviantart.com/gordon003/art/TD-Aladdin-Dance-Scene-Comm-783912784
Dakota GTA 5 Cover,167,15,https://www.deviantart.com/gordon003/art/Dakota-GTA-5-Cover-782519431
TD Brick Soldier (Comm),65,33,https://www.deviantart.com/gordon003/art/TD-Brick-Soldier-Comm-781843433
TD OC Veronika Orlov (Commission),38,7,https://www.deviantart.com/gordon003/art/TD-OC-Veronika-Orlov-Commission-781471442
Devin + Scott Aladdin (NSFW Comm),29,8,https://www.deviantart.com/gordon003/art/Devin-Scott-Aladdin-NSFW-Comm-781275719
Carrie Hot Pose 3 (Vector),137,24,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-3-Vector-778967595
Anne Maria Zebra Dress (Commission),74,12,https://www.deviantart.com/gordon003/art/Anne-Maria-Zebra-Dress-Commission-778788814
Gwen + Zoey Winter Outfit (Commission),204,18,https://www.deviantart.com/gordon003/art/Gwen-Zoey-Winter-Outfit-Commission-778420273
Gordon's 2018 Art Summary,28,9,https://www.deviantart.com/gordon003/art/Gordon-s-2018-Art-Summary-778342916
Courtney + Tom (NSFW Commission),21,5,https://www.deviantart.com/gordon003/art/Courtney-Tom-NSFW-Commission-778278834
